id,text,label,prompt,model,date,word_count,readability
241,AI-generated content sample 241: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2024-07-16,24.0,45.00000000000003
242,AI-generated content sample 242: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-12-12,23.0,43.716086956521764
243,Human-written text sample 243: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-08-04,28.0,33.38642857142861
244,AI-generated content sample 244: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-06-27,25.0,32.56400000000002
245,Human-written text sample 245: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-07-05,28.0,33.38642857142861
246,AI-generated content sample 246: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2023-07-30,24.0,45.00000000000003
247,Human-written text sample 247: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-06-29,25.0,52.86800000000002
248,Human-written text sample 248: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-02-05,25.0,46.10000000000002
249,AI-generated content sample 249: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-06-09,26.0,47.037307692307735
250,AI-generated content sample 250: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2025-01-17,26.0,47.037307692307735
251,AI-generated content sample 251: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-02-20,23.0,40.03782608695653
252,AI-generated content sample 252: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2025-01-01,25.0,29.180000000000007
253,Human-written text sample 253: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-01-08,25.0,49.48400000000001
254,AI-generated content sample 254: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-12-31,26.0,50.29115384615386
255,Human-written text sample 255: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-01-03,25.0,49.48400000000001
256,AI-generated content sample 256: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2024-04-19,25.0,25.79600000000002
257,Human-written text sample 257: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-02-21,28.0,33.38642857142861
258,Human-written text sample 258: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-03-21,25.0,49.48400000000001
259,AI-generated content sample 259: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2024-02-11,24.0,45.00000000000003
260,Human-written text sample 260: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-01-13,25.0,49.48400000000001
261,Human-written text sample 261: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-11-06,25.0,49.48400000000001
262,Human-written text sample 262: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-08-11,25.0,46.10000000000002
263,AI-generated content sample 263: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-02-25,25.0,32.56400000000002
264,Human-written text sample 264: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-07-27,25.0,52.86800000000002
265,AI-generated content sample 265: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-09-20,23.0,40.03782608695653
266,Human-written text sample 266: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-12-11,25.0,52.86800000000002
267,AI-generated content sample 267: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2023-12-24,26.0,47.037307692307735
268,AI-generated content sample 268: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2023-11-10,23.0,47.39434782608697
269,Human-written text sample 269: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-12-16,25.0,46.10000000000002
270,Human-written text sample 270: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-01-07,25.0,52.86800000000002
271,AI-generated content sample 271: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2025-02-01,25.0,32.56400000000002
272,AI-generated content sample 272: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2025-07-12,23.0,40.03782608695653
273,AI-generated content sample 273: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-11-17,25.0,32.56400000000002
274,Human-written text sample 274: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-10-04,25.0,52.86800000000002
275,Human-written text sample 275: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-05-17,25.0,52.86800000000002
276,Human-written text sample 276: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-12-24,25.0,49.48400000000001
277,Human-written text sample 277: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-12-25,25.0,52.86800000000002
278,Human-written text sample 278: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-12-12,25.0,52.86800000000002
279,Human-written text sample 279: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-09-13,25.0,52.86800000000002
280,AI-generated content sample 280: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2023-10-26,24.0,41.47500000000002
281,Human-written text sample 281: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-07-19,25.0,49.48400000000001
282,Human-written text sample 282: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-06-14,25.0,49.48400000000001
283,Human-written text sample 283: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-08-02,25.0,46.10000000000002
284,AI-generated content sample 284: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2025-07-13,26.0,47.037307692307735
285,AI-generated content sample 285: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-08-13,26.0,50.29115384615386
286,Human-written text sample 286: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-04-20,28.0,33.38642857142861
287,Human-written text sample 287: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-12-14,25.0,52.86800000000002
288,AI-generated content sample 288: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-02-09,26.0,50.29115384615386
289,Human-written text sample 289: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-02-07,25.0,52.86800000000002
290,AI-generated content sample 290: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2024-07-10,25.0,32.56400000000002
291,Human-written text sample 291: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-02-29,25.0,46.10000000000002
292,Human-written text sample 292: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-06-05,25.0,46.10000000000002
293,Human-written text sample 293: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-06-07,28.0,33.38642857142861
294,Human-written text sample 294: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-09-09,25.0,49.48400000000001
295,Human-written text sample 295: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-12-28,25.0,52.86800000000002
296,AI-generated content sample 296: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-02-29,23.0,40.03782608695653
297,Human-written text sample 297: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-09-24,25.0,52.86800000000002
298,Human-written text sample 298: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-03-05,25.0,52.86800000000002
299,AI-generated content sample 299: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-05-11,26.0,50.29115384615386
300,AI-generated content sample 300: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-11-02,25.0,32.56400000000002
301,AI-generated content sample 301: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2023-09-03,23.0,40.03782608695653
302,AI-generated content sample 302: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-06-09,24.0,45.00000000000003
303,AI-generated content sample 303: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-09-02,24.0,45.00000000000003
304,Human-written text sample 304: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-08-01,25.0,49.48400000000001
305,Human-written text sample 305: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-09-13,25.0,52.86800000000002
306,AI-generated content sample 306: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2023-12-31,23.0,40.03782608695653
307,AI-generated content sample 307: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2023-12-10,25.0,29.180000000000007
308,AI-generated content sample 308: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2023-12-03,23.0,47.39434782608697
309,Human-written text sample 309: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-11-18,25.0,52.86800000000002
310,Human-written text sample 310: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-01-22,25.0,52.86800000000002
311,Human-written text sample 311: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-12-26,25.0,46.10000000000002
312,Human-written text sample 312: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-05-28,25.0,52.86800000000002
313,AI-generated content sample 313: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-06-13,26.0,50.29115384615386
314,AI-generated content sample 314: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2025-05-19,24.0,41.47500000000002
315,Human-written text sample 315: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-10-11,25.0,49.48400000000001
316,AI-generated content sample 316: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2025-03-05,25.0,29.180000000000007
317,AI-generated content sample 317: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-08-21,23.0,40.03782608695653
318,AI-generated content sample 318: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2023-12-20,26.0,50.29115384615386
319,AI-generated content sample 319: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-06-05,23.0,43.716086956521764
320,AI-generated content sample 320: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2025-06-18,24.0,37.950000000000045
321,AI-generated content sample 321: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-05-05,25.0,32.56400000000002
322,Human-written text sample 322: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-03-09,25.0,52.86800000000002
323,Human-written text sample 323: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-09-26,25.0,46.10000000000002
324,AI-generated content sample 324: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-12-26,23.0,40.03782608695653
325,AI-generated content sample 325: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2023-11-28,26.0,50.29115384615386
326,AI-generated content sample 326: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-04-01,26.0,50.29115384615386
327,Human-written text sample 327: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-01-10,25.0,46.10000000000002
328,AI-generated content sample 328: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2025-06-18,23.0,47.39434782608697
329,AI-generated content sample 329: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2025-01-15,23.0,43.716086956521764
330,AI-generated content sample 330: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2025-05-17,23.0,43.716086956521764
331,AI-generated content sample 331: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-06-18,24.0,41.47500000000002
332,AI-generated content sample 332: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2023-08-18,26.0,50.29115384615386
333,Human-written text sample 333: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-11-23,28.0,33.38642857142861
334,AI-generated content sample 334: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-08-07,24.0,45.00000000000003
335,AI-generated content sample 335: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-10-01,24.0,41.47500000000002
336,AI-generated content sample 336: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-03-31,23.0,43.716086956521764
337,Human-written text sample 337: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-10-25,25.0,52.86800000000002
338,AI-generated content sample 338: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2023-08-15,26.0,43.78346153846158
339,AI-generated content sample 339: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2023-12-05,23.0,40.03782608695653
340,AI-generated content sample 340: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-07-28,24.0,37.950000000000045
341,AI-generated content sample 341: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-12-29,26.0,43.78346153846158
342,AI-generated content sample 342: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2023-11-12,24.0,45.00000000000003
343,AI-generated content sample 343: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-07-21,25.0,32.56400000000002
344,Human-written text sample 344: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-08-12,25.0,52.86800000000002
345,AI-generated content sample 345: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2025-04-01,23.0,47.39434782608697
346,Human-written text sample 346: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-04-03,25.0,46.10000000000002
347,AI-generated content sample 347: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2023-12-25,26.0,43.78346153846158
348,AI-generated content sample 348: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2025-07-27,25.0,25.79600000000002
349,Human-written text sample 349: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-04-15,25.0,49.48400000000001
350,AI-generated content sample 350: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2023-08-09,23.0,43.716086956521764
351,AI-generated content sample 351: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2023-11-10,26.0,43.78346153846158
352,AI-generated content sample 352: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-09-10,23.0,47.39434782608697
353,AI-generated content sample 353: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-05-04,24.0,45.00000000000003
354,AI-generated content sample 354: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2025-01-12,24.0,41.47500000000002
355,Human-written text sample 355: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-09-19,28.0,33.38642857142861
356,AI-generated content sample 356: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-07-09,26.0,43.78346153846158
357,AI-generated content sample 357: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-04-26,23.0,40.03782608695653
358,Human-written text sample 358: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-03-09,25.0,49.48400000000001
359,Human-written text sample 359: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-01-08,28.0,33.38642857142861
360,AI-generated content sample 360: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-03-18,26.0,50.29115384615386
361,Human-written text sample 361: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-12-23,28.0,33.38642857142861
362,AI-generated content sample 362: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-09-19,25.0,32.56400000000002
363,AI-generated content sample 363: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-08-03,24.0,37.950000000000045
364,AI-generated content sample 364: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2025-05-29,24.0,45.00000000000003
365,AI-generated content sample 365: This is an example of text generated by Claude in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Claude,2023-08-06,25.0,32.56400000000002
366,AI-generated content sample 366: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-05-28,24.0,37.950000000000045
367,AI-generated content sample 367: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2024-06-07,23.0,47.39434782608697
368,Human-written text sample 368: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-11-26,25.0,49.48400000000001
369,AI-generated content sample 369: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-07-19,26.0,50.29115384615386
370,Human-written text sample 370: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-11-14,25.0,46.10000000000002
371,Human-written text sample 371: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-01-07,28.0,33.38642857142861
372,AI-generated content sample 372: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-08-12,24.0,45.00000000000003
373,AI-generated content sample 373: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2023-09-09,24.0,45.00000000000003
374,Human-written text sample 374: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-10-18,28.0,33.38642857142861
375,AI-generated content sample 375: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-11-13,24.0,37.950000000000045
376,AI-generated content sample 376: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-02-17,25.0,32.56400000000002
377,Human-written text sample 377: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-12-11,28.0,33.38642857142861
378,AI-generated content sample 378: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-05-21,23.0,40.03782608695653
379,Human-written text sample 379: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-04-25,25.0,52.86800000000002
380,Human-written text sample 380: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-09-11,28.0,33.38642857142861
381,AI-generated content sample 381: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2024-12-03,23.0,47.39434782608697
382,AI-generated content sample 382: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-05-15,24.0,37.950000000000045
383,Human-written text sample 383: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-11-08,25.0,49.48400000000001
384,AI-generated content sample 384: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-03-06,26.0,43.78346153846158
385,Human-written text sample 385: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2025-03-26,25.0,49.48400000000001
386,Human-written text sample 386: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-09-03,25.0,49.48400000000001
387,Human-written text sample 387: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-05-16,25.0,52.86800000000002
388,Human-written text sample 388: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-06-16,25.0,46.10000000000002
389,AI-generated content sample 389: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2023-08-18,23.0,40.03782608695653
390,Human-written text sample 390: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-03-29,25.0,52.86800000000002
391,AI-generated content sample 391: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-10-08,25.0,29.180000000000007
392,AI-generated content sample 392: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2023-12-07,26.0,43.78346153846158
393,Human-written text sample 393: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-03-04,28.0,33.38642857142861
394,AI-generated content sample 394: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2024-10-07,25.0,32.56400000000002
395,Human-written text sample 395: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-09,25.0,46.10000000000002
